label	url
CS PortfolioReal	/fonds/wkn/975145
CSR BOND PLUS OP	/fonds/wkn/A0M6W3
CVT Europa Absolute Select	/fonds/wkn/136705
DANSKE FUND EUROPE SMALL EUR	/fonds/wkn/763765
Danske Invest- Eastern Europe Convergence	/fonds/wkn/A0B6J1
Danske Invest- Europe Focus	/fonds/wkn/930933
Davis Global Fund	/fonds/wkn/974261
Davis Value Fund	/fonds/wkn/974260
DB Platinum Commodity Euro	/fonds/wkn/A0D97Z
DB Platinum IV CROCI Euro	/fonds/wkn/A0B535
DB PLATINUM IV CROCI US I2C	/fonds/wkn/A0B54D
DB Platinum IV Sovereign Plus	/fonds/wkn/814194
db x-t.EUR.STOXX 600 BANKS ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1SF
db x-t.MSCI Africa T50 Idx.ETF Inhaber-Anteile 1C-USD	/fonds/wkn/DBX0HX
db x-t.MSCI EM Healthc.In. ETF Inhaber-Anteile 1C-USD	/fonds/wkn/DBX0H3
db x-t.MSCI Pan-EO TRN Idx ETF Inhaber-Anteile 1C	/fonds/wkn/DBX0B7
db x-t.ST.EU.600 UTILITIES ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1SU
db x-t.STOXX EU.600 BAS.RE.ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1SB
db x-t.STOXX EU.600 IND.GO.ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1F0
db x-t.STOXX GL.Se.Div.100 ETF Inhaber-Anteile 1D	/fonds/wkn/DBX1DG
db x-t.STX EU.600 OIL GAS ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1SG
db x-tr.LEVDAX DAILY ETF Inhaber-Anteile 1C	/fonds/wkn/DBX0BZ
db x-tr.LPX MM PRIV.EQUITY ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1AN
db x-tr.MSCI AC As.ex Jp.Index Inhaber-Anteile 1C	/fonds/wkn/DBX1AE
db x-tr.MSCI China Index ETF Inhaber-Anteile 1C USD	/fonds/wkn/DBX0G2
db x-tr.MSCI EM Asia Idx. ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1MA
db x-tr.MSCI EM Emea Idx. ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1EA
db x-tr.MSCI EM Inf.Tech.I.ETF Inhaber-Anteile 1C-USD	/fonds/wkn/DBX0H5
db x-tr.MSCI EM Latam Idx. ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1ML
db x-tr.MSCI Emer.Mkts.Idx.ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1EM
db x-tr.MSCI EUR.MID CAP I.ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1AT
db x-tr.MSCI EUR.Small C.I.ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1AU
db x-tr.MSCI Eur.Val.Idx. ETF Inhaber-Anteile 1C	/fonds/wkn/DBX0FK
db x-tr.MSCI India Ind.ETF Inhaber-Anteile 1C USD	/fonds/wkn/DBX0G0
db x-tr.MSCI Indonesia Idx.ETF Inhaber-Anteile 1C	/fonds/wkn/DBX0EU
db x-tr.MSCI JAPAN Index ETF Inhaber-Anteile 1C	/fonds/wkn/DBX1MJ
db x-tr.MSCI KOREA INDEX ETF Inhaber-Anteile 1D	/fonds/wkn/DBX1K2
